issuer_code,official_listing_date,gics_industry_group,exempt_foreign,internet_address,registered_office_address,head_office_telephone,head_office_fax,share_registry,share_registry_telephone,,,,,,,,,,
N1H,18/3/16,Banks,No,http://www.n1holdings.com.au,"C/- Sundaraj & Ker, Level 36, Australia Square, 264 George Street, SYDNEY, NSW, AUSTRALIA, 2000",+61 2 9262 6262,+61 2 9299 1286,"LINK MARKET SERVICES LIMITED
                    Level 12 QV1 Building, 250 St Georges Terrace Perth, PERTH, WA, AUSTRALIA, 6000",1300 554 474,,,,,,,,,,
NAG,23/6/06,Materials,No,,"533 Zanelli Road, NAGAMBIE, VIC, AUSTRALIA, 3608",-,(03) 5794 1790,"AUTOMIC REGISTRY SERVICES
                    Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,,,,,,,,,,
NAM,6/4/98,Commercial & Professional Services,No,http://www.namoicotton.com.au/,"1b Kitchener Street, TOOWOOMBA, QLD, AUSTRALIA, 4350",(07) 4631 6100,(07) 4631 6184,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 3, 60 Carrington Street, SYDNEY, NSW, AUSTRALIA, 2000",02 8234 5000,,,,,,,,,,
NC6,18/10/17,"Pharmaceuticals, Biotechnology & Life Sciences",No,http://www.nanollose.com,"Suite 5, CPC, 145 Stirling Highway, NEDLANDS, WA, AUSTRALIA, 6009",+61 8 9389 3120,-,"AUTOMIC REGISTRY SERVICES
                    LEVEL 2, 267 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,,,,,,,,,,
NAN,17/5/07,Health Care Equipment & Services,No,http://www.nanosonics.com.au,"14 Mars Rd, LANE COVE, NSW, AUSTRALIA, 2066",(02) 8063 1600,(02) 9317 5010,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 11, 172 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,,,,,,,,,,
NVU,30/11/18,Technology Hardware & Equipment,No,http://www.nanoveu.com,"Blk 81 Ayer Rajah Crescent, #03-43, ., ., SINGAPORE, 139967",+65 6557 0155,-,"AUTOMIC REGISTRY SERVICES
                    LEVEL 2, 267 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,,,,,,,,,,
NCC,26/2/13,Not Applic,No,http://www.naos.com.au,"Level 34, MLC Centre, 19 Martin Place, SYDNEY, NSW, AUSTRALIA, 2000",02 9947 2540,02 8064 0510,"BOARDROOM PTY LIMITED
                    LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,,,,,,,,,,
NAC,12/11/14,Not Applic,No,http://www.naos.com.au,"Level 34, MLC Centre, 19 Martin Place, SYDNEY, NSW, AUSTRALIA, 2000",02 9947 2540,02 8215 0037,"BOARDROOM PTY LIMITED
                    LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,,,,,,,,,,
NSC,25/3/04,Not Applic,No,http://naos.com.au/naos-small-cap-opportunities-company-limi,"Level 34, MLC Centre, 19 Martin Place, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9002 1576,(02) 8215 0037,"BOARDROOM PTY LIMITED
                    LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,,,,,,,,,,
NAB,1/1/74,Banks,No,http://www.nabgroup.com,"Level 1, 800 Bourke Street, DOCKLANDS, VIC, AUSTRALIA, 3008",61 3 8872 2461,61 1300 099 249,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Yarra Falls, 452 Johnston Street, ABBOTSFORD, VIC, AUSTRALIA, 3067",03 9415 4000,,,,,,,,,,
NFI,20/12/19,Not Applic,No,,"Level 10, 22 Pitt St, SYDNEY, NSW, AUSTRALIA, 2000",1800 549 767,-,"AUSTRACLEAR SERVICES LIMITED
                    20 BRIDGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9256 0689,,,,,,,,,,
NAH,15/3/13,Not Applic,No,,"Advantedge Financial Services Pty Ltd, Level 10, 101 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",03 8616 1000,03 8616 4439,"PERPETUAL TRUSTEE COMPANY LIMITED
                    LEVEL 7, 9 CASTLEREAGH STREET, SYDNEY, NSW, AUSTRALIA, 2000",,,,,,,,,,,
NAJ,27/5/15,Not Applic,No,,"National Australia Managers Limited, Level 1, 800 Bourke Street, DOCKLANDS, VIC, AUSTRALIA, 3008",-,-,"PERPETUAL TRUSTEE COMPANY LIMITED
                    LEVEL 7, 9 CASTLEREAGH STREET, SYDNEY, NSW, AUSTRALIA, 2000",,,,,,,,,,,
NRM,22/7/16,Not Applic,No,,"., ., NSW, AUSTRALIA, 2000",.,-,"PERPETUAL TRUSTEES CONSOLIDATED LIMITED
                    LEVEL 12, ANGEL PLACE, 123 PITT STREET, SYDNEY, NSW, AUSTRALIA, 2000",,,,,,,,,,,
NRO,4/5/18,Not Applic,No,,"National Australia Bank Limited, Level 1, 800 Bourke Street, DOCKLANDS, VIC, AUSTRALIA, 3008",6.10403E+11,-,"PERPETUAL TRUSTEE COMPANY LIMITED
                    LEVEL 7, 9 CASTLEREAGH STREET, SYDNEY, NSW, AUSTRALIA, 2000",,,,,,,,,,,
NSR,19/12/13,Real Estate,No,http://www.nationalstorage.com.au,"Level 23, 71 Eagle St, BRISBANE, QLD, AUSTRALIA, 4000",1800 683 290,-,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Yarra Falls, 452 Johnston Street, ABBOTSFORD, VIC, AUSTRALIA, 3067",03 9415 4000,,,,,,,,,,
NTD,15/12/17,Retailing,No,http://www.ntaw.com.au,"30 Gow Street, MOOROOKA, QLD, AUSTRALIA, 4105",(07) 3212 0950,(07) 3212 0951,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 3, 60 Carrington Street, SYDNEY, NSW, AUSTRALIA, 2000",02 8234 5000,,,,,,,,,,
NML,31/3/11,Materials,No,http://www.navarre.com.au,"40-44 Wimmera Street, (PO Box 385), STAWELL, VIC, AUSTRALIA, 3380",+ 61 3 5358 8625,No fax,"BOARDROOM PTY LIMITED
                    LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,,,,,,,,,,
NGI,28/4/06,Diversified Financials,No,http://www.navigatorglobal.com.au,"Level 21, 10 Eagle Street, BRISBANE, QLD, AUSTRALIA, 4000",07 3218 6200,07 3229 7580,"LINK MARKET SERVICES LIMITED
                    LEVEL 12, 680 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,,,,,,,,,,
NBI,26/9/18,Not Applic,No,http://www.nb.com/nbi,"Level 1, 575 Bourke Street, MELBOURNE, VIC, AUSTRALIA, 3000",1300 032 754,+61 3 9923 6672,"BOARDROOM PTY LIMITED
                    LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,,,,,,,,,,
NEA,7/12/00,Software & Services,No,http://www.nearmap.com,"Level 4, Tower One, International Towers Sydney, 100 Barangaroo Avenue, BARANGAROO, NSW, AUSTRALIA, 2000",02 8076 0700,02 8076 0701,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 3, 60 Carrington Street, SYDNEY, NSW, AUSTRALIA, 2000",02 8234 5000,,,,,,,,,,
NES,7/12/17,Materials,No,http://www.nelsonresources.com.au,"Level 11 London House, 216 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",+61 8 9481 0389,+61 8 9463 6103,"AUTOMIC REGISTRY SERVICES
                    LEVEL 2, 267 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,,,,,,,,,,
NMT,10/7/02,Materials,No,http://www.neometals.com.au,"Level 3, 1292 Hay Street, WEST PERTH, WA, AUSTRALIA, 6005",(08) 9322 1182,(08) 9321 0556,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 11, 172 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,,,,,,,,,,
NCL,6/7/15,Media & Entertainment,No,http://www.netccentric.com,"18 Roberts Lane, #04-01 Goodland Building, ., ., ., SINGAPORE, 218297",+ 65 6295 5990,-,"AUTOMIC REGISTRY SERVICES
                    Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,,,,,,,,,,
NET,13/1/11,Software & Services,No,http://www.NetLinkz.com,"Suite 11, 50 Stanley Street, DARLINGHURST, NSW, AUSTRALIA, 2010",02 9285 1300,02 9261 2977,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 11, 172 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,,,,,,,,,,
NWL,20/11/17,Diversified Financials,No,http://netwealth.com.au,"Level 8, 52 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",(03) 9655 1300,-,"LINK MARKET SERVICES LIMITED
                    LEVEL 12, 680 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,,,,,,,,,,
NEU,3/2/05,"Pharmaceuticals, Biotechnology & Life Sciences",No,http://www.neurenpharma.com,"At the offices of Lowndes Jordan, Level 15, PWC Tower, 188 Quay Street, AUCKLAND, ., NEW ZEALAND, 1141",+61 3 9092 0480,+64 9 361 7981,"LINK MARKET SERVICES LIMITED
                    Tower 4, 727 Collins Street, DOCKLANDS, VIC, AUSTRALIA, 3008",1300 554 474,,,,,,,,,,
NSB,27/7/18,"Pharmaceuticals, Biotechnology & Life Sciences",No,http://www.neuroscientific.com/,"C/- McRae Investments Pty Ltd, Level 1, 45 Stirling Highway, NEDLANDS, WA, AUSTRALIA, 6009",08 6382 1800,-,"AUTOMIC REGISTRY SERVICES
                    LEVEL 2, 267 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,,,,,,,,,,
NTI,4/11/16,Health Care Equipment & Services,No,http://www.neurotechinternational.com/,"Suite 5 CPC, 145 Stirling Hwy, NEDLANDS, WA, AUSTRALIA, 6009",08 9389 3130,08 9389 3199,"AUTOMIC REGISTRY SERVICES
                    LEVEL 2, 267 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,,,,,,,,,,
NAE,18/2/94,Energy,No,http://www.nae.net.au,"Level 2, 480 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",613 8610 6494,613 8610 6334,"LINK MARKET SERVICES LIMITED
                    Tower 4, 727 Collins Street, DOCKLANDS, VIC, AUSTRALIA, 3008",1300 554 474,,,,,,,,,,
NCZ,8/12/10,Materials,No,http://www.newcenturyresources.com,"Level 4, 360 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",+61 3 9070 3300,+61 8 9388 8824,"AUTOMIC REGISTRY SERVICES
                    Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,,,,,,,,,,
NXE,10/5/02,Materials,No,http://www.newenergyminerals.com.au,"C/ MVP Financial, Level 1, 9 Bowman Street, SOUTH PERTH, WA, AUSTRALIA, 6151",+61 8 9217 2400,+61 8 9217 2401,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 11, 172 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,,,,,,,,,,
NEW,4/12/17,Utilities,No,http://www.nes.com.au,"Level 15, 100 Pacific Highway, NORTH SYDNEY, NSW, AUSTRALIA, 2060",1300 454 801,-,"LINK MARKET SERVICES LIMITED
                    LEVEL 12, 680 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,,,,,,,,,,
NHC,16/9/03,Energy,No,http://www.newhopegroup.com.au,"Level 16, 175 Eagle Street, BRISBANE, QLD, AUSTRALIA, 4000",(07) 3418 0500,(07) 3418 0355,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 1, 200 Mary Street, BRISBANE, QLD, AUSTRALIA, 4000",1300 552 270,,,,,,,,,,
NSE,15/8/07,Energy,No,http://www.newstandard.com.au,"Unit 1, 117 Brisbane Street, PERTH, WA, AUSTRALIA, 6000",(08) 9227 9280,(08) 9227 9280,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 11, 172 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,,,,,,,,,,
NTL,28/5/87,Materials,No,http://www.newtalismangoldmines.co.nz,"Nathan House, 541 Parnell Road, ., PARNELL, ., NEW ZEALAND, 1052",0011 64 9 303 1893,0011 64 9 303 1612,"COMPUTERSHARE INVESTOR SERVICES PTY. LIMITED
                    YARRA FALLS, 452 JOHNSTON STREET, ABBOTSFORD, VIC, AUSTRALIA, 3067",1800 501 366,,,,,,,,,,
NWC,21/9/05,Materials,No,http://www.newworldres.com,"1 / 100 Railway Road, SUBIACO, WA, AUSTRALIA, 6008",+61 8 9226 1356,+61 8 9226 2027,"AUTOMIC REGISTRY SERVICES
                    LEVEL 2, 267 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,,,,,,,,,,
NZS,19/6/07,"Food, Beverage & Tobacco",No,http://www.nzcoastalseafoods.com,"Suite 5 CPC, 145 Stirling Highway, NEDLANDS, WA, AUSTRALIA, 6009",08 9389 3170,08 9389 3199,"AUTOMIC REGISTRY SERVICES
                    LEVEL 2, 267 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,,,,,,,,,,
NZK,19/10/16,"Food, Beverage & Tobacco",Yes,http://www.kingsalmon.co.nz,"93 Beatty Street, Annesbrook, ., NELSON, ., NEW ZEALAND, 7011",+64 3 548 5714,-,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 3, 60 Carrington Street, SYDNEY, NSW, AUSTRALIA, 2000",02 8234 5000,,,,,,,,,,
NCM,4/6/87,Materials,No,http://www.newcrest.com.au/,"Level 8, 600 St Kilda Road, MELBOURNE, VIC, AUSTRALIA, 3004",(03) 9522 5333,(03) 9525 2996,"LINK MARKET SERVICES LIMITED
                    Tower 4, 727 Collins Street, DOCKLANDS, VIC, AUSTRALIA, 3008",1300 554 474,,,,,,,,,,
NWF,8/6/12,Materials,No,http://www.newfieldresources.com.au,"15 McCabe Street, NORTH FREMANTLE, WA, AUSTRALIA, 6159",(08) 6389 2688,(08) 6389 2588,"ADVANCED SHARE REGISTRY SERVICES
                    110 STIRLING HIGHWAY, NEDLANDS, WA, AUSTRALIA, 6009",(08) 9389 8033,,,,,,,,,,
NWS,19/6/13,Media & Entertainment,No,http://www.newscorp.com,"2 Holt Street, SURRY HILLS, NSW, AUSTRALIA, 2010",(02) 9288 3000,(02) 9288 3275,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 5, 115 Grenfell Street, ADELAIDE, SA, AUSTRALIA, 5000",08 8236 2300,,,,,,,,,,
NME,6/12/07,Materials,No,http://www.nexmetals.com,"45 Guthrie St, OSBORNE PARK, WA, AUSTRALIA, 6017",08 9221 6813,08 9221 3091,"ADVANCED SHARE REGISTRY SERVICES
                    110 STIRLING HIGHWAY, NEDLANDS, WA, AUSTRALIA, 6009",(08) 9389 8033,,,,,,,,,,
NXS,18/4/19,Health Care Equipment & Services,No,http://www.nextscience.com,"Suite 1902 Level 19, Tower A, The Zenith Building, CHATSWOOD, NSW, AUSTRALIA, 2067",02 8607 5124,02 9287 0350,"LINK MARKET SERVICES LIMITED
                    LEVEL 12, 680 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,,,,,,,,,,
NXT,13/12/10,Software & Services,No,http://www.NEXTDC.com,"20 Wharf Street, BRISBANE, QLD, AUSTRALIA, 4000",(07) 3177 4777,(07) 3177 4788,"LINK MARKET SERVICES LIMITED
                    Level 21, 10 Eagle Street, BRISBANE, QLD, AUSTRALIA, 4000",1300 554 474,,,,,,,,,,
NXM,23/2/07,Materials,No,http://www.nexus-minerals.com,"Unit 8-9, 88 Forrest Street, COTTESLOE, WA, AUSTRALIA, 6011",(08) 9481 1749,(08) 9481 1756,"ADVANCED SHARE REGISTRY SERVICES
                    110 STIRLING HIGHWAY, NEDLANDS, WA, AUSTRALIA, 6009",(08) 9389 8033,,,,,,,,,,
NGE,28/12/07,Not Applic,No,http://www.ngecapital.com.au,"Level 4 North Building, 333 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",(03) 9648 2290,(03) 7000 5077,"BOARDROOM PTY LIMITED
                    LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,,,,,,,,,,
NHF,5/11/07,Insurance,No,http://www.nib.com.au,"22 Honeysuckle Drive, NEWCASTLE, NSW, AUSTRALIA, 2300",13 14 63,(02) 4925 2151,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 3, 60 Carrington Street, SYDNEY, NSW, AUSTRALIA, 2000",02 8234 5000,,,,,,,,,,
NCK,26/5/04,Retailing,No,http://www.nickscali.com.au,"Level 7, Triniti 2, 39 Delhi Road, NORTH RYDE, NSW, AUSTRALIA, 2113",(02) 9748 4000,(02) 9748 4022,"LINK MARKET SERVICES LIMITED
                    LEVEL 12, 680 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,,,,,,,,,,
NIC,20/8/18,Materials,No,http://www.nickelmines.com.au/,"Level 2, 66 Hunter Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9300 3311,02 9221 6333,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 3, 60 Carrington Street, SYDNEY, NSW, AUSTRALIA, 2000",02 8234 5000,,,,,,,,,,
NEC,6/12/13,Media & Entertainment,No,http://www.nineentertainment.com.au,"Level 9, 1 Denison Street, NORTH SYDNEY, NSW, AUSTRALIA, 2060",(02) 9906 9999,(02) 9965 2215,"LINK MARKET SERVICES LIMITED
                    LEVEL 12, 680 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,,,,,,,,,,
NTO,11/12/19,Software & Services,No,http://www.gonitro.com,"Unit 4, 246 Bourke Street, MELBOURNE, VIC, AUSTRALIA, 3000",+1 415 651 4700,-,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Yarra Falls, 452 Johnston Street, ABBOTSFORD, VIC, AUSTRALIA, 3067",03 9415 4000,,,,,,,,,,
NIU,9/12/86,Materials,No,http://www.niuminco.com.au,"Suite 50, 14 Narabang Way, BELROSE, NSW, AUSTRALIA, 2085",(02) 9450 0828,(02) 9241 5818,"AUTOMIC REGISTRY SERVICES
                    Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,,,,,,,,,,
NIB,24/3/99,Not Applic,No,http://www.nib.int/home,"Fabianinkatu 34, PO Box 249, AUSTRALIA,",+35 810618001,+35 8106180714,"RESERVE BANK OF AUSTRALIA
                    REGISTER OF INSCRIBED STOCK, 65 MARTIN PLACE, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9551 8111,,,,,,,,,,
NTU,15/11/06,Materials,No,http://www.northernminerals.com.au,"Level 1, 675 Murray Street, WEST PERTH, WA, AUSTRALIA, 6005",+61 8 9481 2344,+61 8 9481 5929,"AUTOMIC REGISTRY SERVICES
                    Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,,,,,,,,,,
NST,17/12/03,Materials,No,http://www.nsrltd.com,"Level 1, 388 Hay Street, SUBIACO, WA, AUSTRALIA, 6008",+61 8 6188 2100,+61 8 6188 2111,"LINK MARKET SERVICES LIMITED
                    Level 12 QV1 Building, 250 St Georges Terrace Perth, PERTH, WA, AUSTRALIA, 6000",1300 554 474,,,,,,,,,,
NWE,19/9/97,Energy,No,http://www.norwestenergy.com.au/,"Level 2, 30 Richardson Street, WEST PERTH, WA, AUSTRALIA, 6005",(08) 9227 3240,(08) 9227 3211,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 11, 172 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,,,,,,,,,,
NWM,29/11/18,Materials,No,http://www.norwestminerals.com.au,"Suite 1A, Level 1, 7 Ventnor Ave, WEST PERTH, WA, AUSTRALIA, 6005",-,-,"AUTOMIC REGISTRY SERVICES
                    Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,,,,,,,,,,
NOR,27/6/95,Software & Services,No,http://www.norwoodsystems.com,"4 Leura St, NEDLANDS, WA, AUSTRALIA, 6009",+61 8 9200 3500,+61 8 9322 7602,"LINK MARKET SERVICES LIMITED
                    LEVEL 12, 680 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,,,,,,,,,,
EYE,12/10/87,Health Care Equipment & Services,No,http://www.nova-eye.com,"3-4 Second Avenue, MAWSON LAKES, SA, AUSTRALIA, 5095",08 8362 0193,08 8362 0193,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 5, 115 Grenfell Street, ADELAIDE, SA, AUSTRALIA, 5000",08 8236 2300,,,,,,,,,,
NVA,11/6/87,Materials,No,http://novaminerals.com.au/,"Suite 602, 566 St Kilda Road, MELBOURNE, VIC, AUSTRALIA, 3004",+61 3 9537 1238,+61 3 9614 0550,"LINK MARKET SERVICES LIMITED
                    Tower 4, 727 Collins Street, DOCKLANDS, VIC, AUSTRALIA, 3008",1300 554 474,,,,,,,,,,
NOV,18/1/16,Software & Services,No,http://www.novatti.com,"Level 3, 461 Bourke Street, MELBOURNE, VIC, AUSTRALIA, 3000",(08) 9388 8290,-,"AUTOMIC REGISTRY SERVICES
                    LEVEL 2, 267 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,,,,,,,,,,
NVX,2/12/15,Technology Hardware & Equipment,No,http://www.novonixgroup.com,"C/- McCullough Robertson, Level 11, Central Plaza Two, 66 Eagle Street, BRISBANE, QLD, AUSTRALIA, 4000",00414 970 566,07 3229 9949,"LINK MARKET SERVICES LIMITED
                    Level 21, 10 Eagle Street, BRISBANE, QLD, AUSTRALIA, 4000",1300 554 474,,,,,,,,,,
NOX,9/8/16,"Pharmaceuticals, Biotechnology & Life Sciences",No,http://www.noxopharm.com,"Suite 3 Level 4, 828 Pacific Highway, GORDON, NSW, AUSTRALIA, 2072",(02) 9144 2223,02 9251 7455,"AUTOMIC REGISTRY SERVICES
                    Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,,,,,,,,,,
NWH,5/9/07,Capital Goods,No,http://www.nrw.com.au,"181 Great Eastern Highway, BELMONT, WA, AUSTRALIA, 6104",(08) 9232 4200,(08) 92324234,"LINK MARKET SERVICES LIMITED
                    LEVEL 4 CENTRAL PARK, 152 ST GEORGES TERRACE, PERTH, WA, AUSTRALIA, 6000",1300 554 474,,,,,,,,,,
NSX,13/1/05,Diversified Financials,No,https://www.nsx.com.au,"Level 3, Suite 3.04, 1 Bligh Street, SYDNEY, NSW, AUSTRALIA, 200",(02) 8378 6400,(02) 8378 6456,"BOARDROOM PTY LIMITED
                    LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,,,,,,,,,,
NTM,26/9/06,Materials,No,http://www.ntmgold.com.au,"Unit 4, 20 Altona Street, WEST PERTH, WA, AUSTRALIA, 6005",(08) 9481 6666,08 9481 6677,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 11, 172 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,,,,,,,,,,
NUC,9/12/19,"Food, Beverage & Tobacco",No,http://www.nuchev.com.au,"194-196 High Street, BELMONT, VIC, AUSTRALIA, 3216",(03) 9544 8910,(03) 9544 8910,"AUTOMIC REGISTRY SERVICES
                    Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,,,,,,,,,,
NCR,31/5/96,Materials,No,http://www.nucoal.com.au,"Unit 8, 24 Garnett Road, GREENHILLS, NSW, AUSTRALIA, 2323",+61 2 4015 0500,+61 2 4015 0599,"LINK MARKET SERVICES LIMITED
                    LEVEL 12, 680 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,,,,,,,,,,
NGY,15/1/87,Energy,No,http://www.nuenergygas.com,"c/- KPMG, Level 38, Tower 3, International Towers, 300 Barangaroo Avenue, SYDNEY, NSW, AUSTRALIA, 2000",(02) 80767600,02 80767600,"LINK MARKET SERVICES LIMITED
                    Tower 4, 727 Collins Street, DOCKLANDS, VIC, AUSTRALIA, 3008",1300 554 474,,,,,,,,,,
NFN,27/11/06,Not Applic,No,http://www.nufarm.com.au/,"c/- Nufarm Limited, 103 - 105 Pipe Road, LAVERTON NORTH, VIC, AUSTRALIA, 3026",(03) 9282 1000,(03) 9282 1132,"COMPUTERSHARE INVESTOR SERVICES PTY. LIMITED
                    YARRA FALLS, 452 JOHNSTON STREET, ABBOTSFORD, VIC, AUSTRALIA, 3067",1800 501 366,,,,,,,,,,
NUF,10/11/88,Materials,No,http://www.nufarm.com,"103-105 Pipe Road, LAVERTON NORTH, VIC, AUSTRALIA, 3026",(03) 9282-1000,(03) 9282-1007,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Yarra Falls, 452 Johnston Street, ABBOTSFORD, VIC, AUSTRALIA, 3067",03 9415 4000,,,,,,,,,,
NUH,5/3/10,Technology Hardware & Equipment,No,http://www.nuheara.com/,"190 Aberdeen Street, NORTHBRIDGE, WA, AUSTRALIA, 6003",(08)65559999,(08)65559998,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 11, 172 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,,,,,,,,,,
NUS,2/8/17,Materials,No,http://www.nusantararesources.com,"Ground Floor, 20 Kings Park Road, WEST PERTH, WA, AUSTRALIA, 6005",08 94608600,08 94608600,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Yarra Falls, 452 Johnston Street, ABBOTSFORD, VIC, AUSTRALIA, 3067",03 9415 4000,,,,,,,,,,
NVO,30/11/10,Media & Entertainment,No,http://www.nvoi.com.au,"Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",+61 2 9299 9690,+61 2 9299 9629,"AUTOMIC REGISTRY SERVICES
                    Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,,,,,,,,,,
NYR,16/1/20,"Pharmaceuticals, Biotechnology & Life Sciences",No,http://www.nyrada.com/site/content/,"Suite 3, Level 4, 828 Pacific Highway, GORDON, NSW, AUSTRALIA, 2072",+61 2 9053 1990,+ 61 2 9053 1999,"AUTOMIC REGISTRY SERVICES
                    Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,,,,,,,,,,
NZM,27/6/16,Media & Entertainment,Yes,http://www.nzme.co.nz,"2 Graham Street, ., ., AUCKLAND CENTRAL, ., NEW ZEALAND, 1010",64 27 479 0697,64,"LINK MARKET SERVICES LIMITED
                    LEVEL 12, 680 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,,,,,,,,,,
OKJ,11/6/08,Materials,No,http://www.oakajeecorp.com.au,"39 Clifton Street, NEDLANDS, WA, AUSTRALIA, 6009",+61 8 9389 6032,+61 8 9389 8226,"ADVANCED SHARE REGISTRY SERVICES
                    110 STIRLING HIGHWAY, NEDLANDS, WA, AUSTRALIA, 6009",(08) 9389 8033,,,,,,,,,,
